Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.2092, 549, 4194304, 4194304, 72.693, 8.36962, 84, 44, 18, 2.09241, 21, 11, 0.438488, 0.150983, 1.47738, 0.186011
30.2936, 553, 4194304, 4194304, 73.0188, 9.98758, 92, 52, 18, 2.49689, 23, 13, 0.435608, 0.133195, 1.21557, 0.183595
30.3253, 555, 4194304, 4194304, 73.2062, 7.9954, 88, 48, 18, 1.99885, 22, 12, 0.433931, 0.120347, 0.88804, 0.196269
30.2016, 2300, 1048576, 1048576, 76.155, 3.9977, 84, 68, 76, 3.9977, 84, 68, 0.209156, 0.097709, 0.984904, 0.057496
30.2391, 2292, 1048576, 1048576, 75.796, 3.71143, 83, 67, 75, 3.71143, 83, 67, 0.209968, 0.100619, 0.909847, 0.0560615
30.3235, 2339, 1048576, 1048576, 77.1349, 4.27247, 91, 71, 77, 4.27247, 91, 71, 0.206013, 0.0948668, 0.761731, 0.0555221
30.2861, 2271, 1048576, 1048576, 74.9848, 4.72034, 81, 64, 74, 4.72034, 81, 64, 0.212043, 0.10308, 0.764242, 0.0554045
30.2805, 2271, 1048576, 1048576, 74.9987, 4.04358, 87, 67, 74, 4.04358, 87, 67, 0.212038, 0.10095, 0.806032, 0.0510302
30.1881, 2289, 1048576, 1048576, 75.8247, 3.73874, 83, 66, 75, 3.73874, 83, 66, 0.210054, 0.0948022, 0.673101, 0.0523881
30.3566, 2259, 1048576, 1048576, 74.4154, 9.0313, 83, 33, 74, 9.0313, 83, 33, 0.213709, 0.111081, 1.21046, 0.0611313
30.1524, 2256, 1048576, 1048576, 74.8199, 2.96124, 81, 69, 74, 2.96124, 81, 69, 0.213082, 0.0971776, 0.918343, 0.0556643
30.1411, 2292, 1048576, 1048576, 76.0424, 3.41127, 82, 68, 76, 3.41127, 82, 68, 0.2097, 0.0900431, 0.679711, 0.0637915
